condition_group,subgroup1,subgroup2,n1,n2,phi1_mean,psi1_mean,phi2_mean,psi2_mean,d12,pval,ddist,significant
HELIX,G-GGA,G-GGG,153,245,-63.32062790824804,-39.38382698077732,-61.32173206650879,-42.2711562637114,3.5117310509506665,0.0033993202,0.62037164,False
HELIX,S-AGT,S-TCT,264,302,-65.22679027162603,-38.076484377407276,-65.99364976068921,-36.842562892520284,1.4528027074699328,0.0041991603,0.5644335,False
HELIX,R-AGG,R-CGA,63,140,-63.47511995708456,-39.08048120426413,-64.85462692413037,-39.180488834091456,1.3831272530579477,0.0043991203,0.7731934,False
HELIX,S-TCA,S-TCT,216,302,-64.68298427028796,-37.93930002792757,-65.99364976068921,-36.842562892520284,1.7089986459649844,0.0057988404,0.5390414,False
HELIX,T-ACA,T-ACG,215,461,-67.44871228033371,-38.986122140880404,-65.47704157262612,-40.62124893761395,2.5614693090154734,0.00639872,0.5317109,False
HELIX,S-TCA,S-TCG,216,261,-64.68298427028796,-37.93930002792757,-65.27354974668394,-36.47083667713151,1.5827672584881236,0.0069986004,0.5243353,False
HELIX,L-CTA,L-CTC,169,528,-65.51481251873629,-39.32920595798473,-66.17682860403978,-37.7172403327267,1.7426125427684898,0.00959808,0.54068506,False
HELIX,S-AGT,S-TCA,264,216,-65.22679027162603,-38.076484377407276,-64.68298427028796,-37.93930002792757,0.5608426810019693,0.010867203,0.51149845,False
HELIX,S-TCG,S-TCT,261,302,-65.27354974668394,-36.47083667713151,-65.99364976068921,-36.842562892520284,0.8103853462258911,0.011588275,0.5221285,False
HELIX,S-AGT,S-TCC,264,301,-65.22679027162603,-38.076484377407276,-66.28487536652021,-36.61864538586517,1.8013435522680683,0.012996751,0.5391875,False
HELIX,L-CTA,L-CTT,169,530,-65.51481251873629,-39.32920595798473,-65.76156676288134,-39.0306754648364,0.3873088074689004,0.014520353,0.5255704,False
HELIX,T-ACG,T-ACT,461,334,-65.47704157262612,-40.62124893761395,-67.44891035581963,-39.4127596621015,2.312728437833043,0.015877683,0.54167557,False
HELIX,S-TCA,S-TCC,216,301,-64.68298427028796,-37.93930002792757,-66.28487536652021,-36.61864538586517,2.076098207645573,0.020349875,0.5193898,False
HELIX,C-TGC,C-TGT,193,167,-65.082844034868,-40.3688461270253,-63.73259076803736,-40.78154323215039,1.411914581398421,0.021914648,0.48385996,False
HELIX,G-GGA,G-GGT,153,462,-63.32062790824804,-39.38382698077732,-60.92991143458184,-42.13846617870556,3.647404881312423,0.022766078,0.56562674,False
HELIX,L-CTA,L-CTG,169,2812,-65.51481251873629,-39.32920595798473,-65.22351861101359,-39.34996973306157,0.29203300332634435,0.024534302,0.5089835,False
HELIX,T-ACA,T-ACT,215,334,-67.44871228033371,-38.986122140880404,-67.44891035581963,-39.4127596621015,0.42663756720145424,0.028872848,0.51828766,False
HELIX,S-TCC,S-TCT,301,302,-66.28487536652021,-36.61864538586517,-65.99364976068921,-36.842562892520284,0.3673573237030639,0.029428095,0.5203053,False
HELIX,S-AGC,S-TCC,503,301,-65.67468675663879,-36.32571564783625,-66.28487536652021,-36.61864538586517,0.6768589004000196,0.031230481,0.52867526,False
HELIX,L-CTA,L-TTG,169,599,-65.51481251873629,-39.32920595798473,-65.1481952848467,-39.74245972352718,0.5524372099341973,0.036646307,0.5017653,False
HELIX,S-AGT,S-TCG,264,261,-65.22679027162603,-38.076484377407276,-65.27354974668394,-36.47083667713151,1.6063284178238746,0.036646307,0.47773013,False
HELIX,R-AGA,R-AGG,103,63,-65.32707110902015,-38.153433288596645,-63.47511995708456,-39.08048120426413,2.0710241203566473,0.037593983,0.7095388,False
HELIX,R-AGG,R-CGG,63,222,-63.47511995708456,-39.08048120426413,-64.28524869453977,-39.78899380234248,1.0762428503300296,0.040599626,0.6916734,False
HELIX,T-ACA,T-ACC,215,846,-67.44871228033371,-38.986122140880404,-67.09902025520739,-39.366819809743994,0.5169286483791647,0.042120207,0.5194252,False
HELIX,S-AGC,S-TCA,503,216,-65.67468675663879,-36.32571564783625,-64.68298427028796,-37.93930002792757,1.8939715871968932,0.042826552,0.50690717,False
HELIX,P-CCA,P-CCC,184,92,-58.26180048815391,-36.98078201565925,-59.370039662123496,-35.431394583576875,1.9049397579492127,0.044485636,0.53941786,False
HELIX,L-CTA,L-TTA,169,641,-65.51481251873629,-39.32920595798473,-65.02189825690398,-39.12267811295647,0.5344326152937416,0.04662781,0.47903046,False
HELIX,H-CAC,H-CAT,378,510,-66.87671808829099,-38.01823310907083,-67.21594626360884,-38.02739922293698,0.3393519891983655,0.04853676,0.54569036,False
HELIX,S-AGC,S-AGT,503,264,-65.67468675663879,-36.32571564783625,-65.22679027162603,-38.076484377407276,1.8071531218274048,0.05294705,0.47956342,False
HELIX,Y-TAC,Y-TAT,586,667,-66.63089958006223,-39.10396339463064,-66.86128186076677,-39.865246034236506,0.7953786850475036,0.053,0.5631644,False
HELIX,G-GGA,G-GGC,153,549,-63.32062790824804,-39.38382698077732,-60.61706144983857,-42.43330153951292,4.075360926275407,0.05687694,0.5672155,False
HELIX,G-GGG,G-GGT,245,462,-61.32173206650879,-42.2711562637114,-60.92991143458184,-42.13846617870556,0.41367869930961154,0.0693153,0.5614202,False
HELIX,P-CCC,P-CCT,92,151,-59.370039662123496,-35.431394583576875,-58.39854087533756,-36.50081779249328,1.4448099849099898,0.069941714,0.5401767,False
HELIX,L-CTC,L-CTT,528,530,-66.17682860403978,-37.7172403327267,-65.76156676288134,-39.0306754648364,1.3775174202101077,0.076154806,0.46609446,False
HELIX,G-GGC,G-GGG,549,245,-60.61706144983857,-42.43330153951292,-61.32173206650879,-42.2711562637114,0.7230848971338927,0.08191808,0.53198725,False
HELIX,T-ACC,T-ACT,846,334,-67.09902025520739,-39.366819809743994,-67.44891035581963,-39.4127596621015,0.3528931177298235,0.08739076,0.48612154,False
HELIX,S-TCC,S-TCG,301,261,-66.28487536652021,-36.61864538586517,-65.27354974668394,-36.47083667713151,1.0220699211476405,0.08799172,0.47346306,False
HELIX,L-CTT,L-TTG,530,599,-65.76156676288134,-39.0306754648364,-65.1481952848467,-39.74245972352718,0.9396070460497867,0.099857345,0.46119034,False
HELIX,L-CTC,L-TTG,528,599,-66.17682860403978,-37.7172403327267,-65.1481952848467,-39.74245972352718,2.2714753105038286,0.10515873,0.4931923,False
HELIX,R-CGA,R-CGT,140,1039,-64.85462692413037,-39.180488834091456,-64.29772745015339,-39.47227451543441,0.6287097167633202,0.106299214,0.6725043,False
HELIX,F-TTC,F-TTT,677,888,-66.6942495846141,-39.578914258945815,-66.69868237738544,-39.501968762851035,0.07707307585029434,0.108153075,0.5065636,False
HELIX,V-GTA,V-GTT,474,733,-65.84891122198746,-41.85411857336876,-65.77557548086904,-41.73528694218888,0.13963913310480125,0.108153075,0.44327718,False
HELIX,R-AGA,R-CGT,103,1039,-65.32707110902015,-38.153433288596645,-64.29772745015339,-39.47227451543441,1.6729885085248393,0.10981697,0.6827362,False
HELIX,P-CCG,P-CCT,492,151,-58.54804688607997,-36.759839056387676,-58.39854087533756,-36.50081779249328,0.2990720020288733,0.123128116,0.46289542,False
HELIX,A-GCA,A-GCT,1258,994,-63.52172916798072,-39.531703991402686,-63.35574191077107,-39.12919069833008,0.4353949019638797,0.1264559,0.37846187,False
HELIX,R-AGG,R-CGC,63,1066,-63.47511995708456,-39.08048120426413,-64.86240650959502,-39.28216986026544,1.4018709971805432,0.12774451,0.6400869,False
HELIX,V-GTA,V-GTC,474,534,-65.84891122198746,-41.85411857336876,-65.79401699162808,-41.827757458267094,0.06089568881417827,0.1296758,0.3967459,False
HELIX,R-AGG,R-CGT,63,1039,-63.47511995708456,-39.08048120426413,-64.29772745015339,-39.47227451543441,0.9111449315727677,0.13216957,0.6365847,False
HELIX,L-CTG,L-TTA,2812,641,-65.22351861101359,-39.34996973306157,-65.02189825690398,-39.12267811295647,0.30382930694928667,0.13715711,0.42588246,False
HELIX,V-GTC,V-GTG,534,986,-65.79401699162808,-41.827757458267094,-65.80718559634786,-41.928038295661224,0.10114177425146009,0.13715711,0.4035346,False
HELIX,V-GTA,V-GTG,474,986,-65.84891122198746,-41.85411857336876,-65.80718559634786,-41.928038295661224,0.08488317370840674,0.13965087,0.40429017,False
HELIX,R-CGG,R-CGG,222,222,-64.28524869453977,-39.78899380234248,-64.28524869453977,-39.78899380234248,0.0,0.14214464,0.61866134,False
HELIX,I-ATA,I-ATT,185,1290,-65.00256882155286,-42.402138801424734,-65.31409374959713,-42.34926289196508,0.3159804465377254,0.14214464,0.3988502,False
HELIX,T-ACC,T-ACG,846,461,-67.09902025520739,-39.366819809743994,-65.47704157262612,-40.62124893761395,2.0504651383519414,0.14265335,0.48721823,False
