condition_group,subgroup1,subgroup2,n1,n2,phi1_mean,psi1_mean,phi2_mean,psi2_mean,d12,pval,ddist,significant
HELIX,S-AGT,S-TCA,256,195,-65.18692928762984,-37.374747326985585,-65.18096653248442,-37.07344719212881,0.30135913079519183,0.00239952,0.54245836,False
HELIX,C-TGC,C-TGT,197,157,-65.01721957732252,-41.06864681881729,-63.70603499254435,-39.85544812787212,1.7863527308656062,0.0053989203,0.5450495,False
HELIX,S-TCA,S-TCC,195,297,-65.18096653248442,-37.07344719212881,-66.10907995766243,-36.53535805912604,1.0728161282583983,0.00739852,0.5437844,False
HELIX,S-TCA,S-TCT,195,259,-65.18096653248442,-37.07344719212881,-64.96733187562475,-37.49149575046861,0.469472431290198,0.0079984,0.52518487,False
HELIX,S-AGC,S-TCA,492,195,-65.59661769442553,-36.75192286713963,-65.18096653248442,-37.07344719212881,0.5254938439056696,0.0083983205,0.53621817,False
HELIX,T-ACA,T-ACT,228,291,-68.58737311686653,-38.83779092267524,-67.17901543076658,-38.958275459634265,1.413501997042464,0.012197561,0.55361575,False
HELIX,G-GGA,G-GGG,146,186,-61.799961421625575,-41.53861164503836,-60.451422532276595,-41.62874623642043,1.3515477722412135,0.012996751,0.5743887,False
HELIX,S-TCC,S-TCT,297,259,-66.10907995766243,-36.53535805912604,-64.96733187562475,-37.49149575046861,1.4892239481161356,0.013885032,0.5484028,False
HELIX,G-GGA,G-GGT,146,473,-61.799961421625575,-41.53861164503836,-61.138163902375524,-42.39361131024597,1.0812032112376662,0.015620119,0.59170884,False
HELIX,L-CTA,L-CTT,190,518,-65.47430266676895,-38.86011198088284,-65.75043355453423,-39.065475278657615,0.34412548765089956,0.016465746,0.48740795,False
HELIX,S-TCG,S-TCT,304,259,-66.24582034484608,-36.583876307895224,-64.96733187562475,-37.49149575046861,1.5678985357698123,0.016994335,0.5329307,False
HELIX,P-CCC,P-CCT,105,148,-58.764632184661075,-36.18743505299476,-58.727482785765375,-36.835859061849916,0.649487315579072,0.01718213,0.538663,False
HELIX,P-CCC,P-CCG,105,472,-58.764632184661075,-36.18743505299476,-58.54430394241481,-36.7113173925239,0.5683284613688331,0.01766078,0.54969513,False
HELIX,S-TCA,S-TCG,195,304,-65.18096653248442,-37.07344719212881,-66.24582034484608,-36.583876307895224,1.1720039643236861,0.017994002,0.54585254,False
HELIX,T-ACA,T-ACG,228,470,-68.58737311686653,-38.83779092267524,-66.18544147258316,-39.566971673182046,2.5101753306730297,0.018564798,0.5390973,False
HELIX,S-AGC,S-TCG,492,304,-65.59661769442553,-36.75192286713963,-66.24582034484608,-36.583876307895224,0.6705995283229336,0.018564798,0.52630556,False
HELIX,I-ATA,I-ATT,194,1212,-65.5413682942293,-41.79271175763576,-65.46398908112224,-42.281562056911916,0.49493651888242596,0.019205472,0.46505648,False
HELIX,G-GGA,G-GGC,146,581,-61.799961421625575,-41.53861164503836,-61.09604895595323,-41.94639442905563,0.8134983455851619,0.031093836,0.5641042,False
HELIX,S-AGT,S-TCT,256,259,-65.18692928762984,-37.374747326985585,-64.96733187562475,-37.49149575046861,0.24870307144283776,0.03185509,0.4933582,False
HELIX,S-TCC,S-TCG,297,304,-66.10907995766243,-36.53535805912604,-66.24582034484608,-36.583876307895224,0.14509291488823475,0.035688795,0.534569,False
HELIX,S-AGT,S-TCC,256,297,-65.18692928762984,-37.374747326985585,-66.10907995766243,-36.53535805912604,1.2469708100991554,0.035688795,0.5045167,False
HELIX,R-AGA,R-AGG,85,52,-64.30466009216094,-39.063074467164355,-64.97108847966827,-39.745266931276056,0.9536840953724649,0.03640257,0.7475679,False
HELIX,L-CTA,L-CTC,190,538,-65.47430266676895,-38.86011198088284,-64.87877847303554,-39.77677117882274,1.093120830690575,0.043297254,0.44075647,False
HELIX,R-AGG,R-CGA,52,145,-64.97108847966827,-39.745266931276056,-63.28639500012794,-39.74254510089181,1.684695678265463,0.044962533,0.76326764,False
HELIX,S-AGC,S-TCC,492,297,-65.59661769442553,-36.75192286713963,-66.10907995766243,-36.53535805912604,0.5563433178459477,0.04662781,0.4884776,False
HELIX,S-AGT,S-TCG,256,304,-65.18692928762984,-37.374747326985585,-66.24582034484608,-36.583876307895224,1.321638089603038,0.056619484,0.49006835,False
HELIX,L-CTA,L-TTG,190,649,-65.47430266676895,-38.86011198088284,-65.69698732427888,-38.65900730605557,0.30005257360618504,0.05994006,0.45411038,False
HELIX,P-CCG,P-CCT,472,148,-58.54430394241481,-36.7113173925239,-58.727482785765375,-36.835859061849916,0.2215064695438109,0.061924685,0.51646173,False
HELIX,S-AGC,S-TCT,492,259,-65.59661769442553,-36.75192286713963,-64.96733187562475,-37.49149575046861,0.9710657503482018,0.06557377,0.5009228,False
HELIX,G-GGC,G-GGT,581,473,-61.09604895595323,-41.94639442905563,-61.138163902375524,-42.39361131024597,0.4491955114799876,0.066933066,0.5496706,False
HELIX,L-CTA,L-CTG,190,2635,-65.47430266676895,-38.86011198088284,-65.42510481417735,-39.232811498228344,0.375932652118959,0.067017086,0.47009978,False
HELIX,Y-TAC,Y-TAT,532,708,-66.27286106377016,-39.94060351134925,-66.98556398290431,-39.371713640284305,0.9119107063428039,0.06741573,0.54170305,False
HELIX,T-ACG,T-ACT,470,291,-66.18544147258316,-39.566971673182046,-67.17901543076658,-38.958275459634265,1.1652039695983123,0.06991261,0.46798462,False
HELIX,T-ACA,T-ACC,228,842,-68.58737311686653,-38.83779092267524,-66.49846221205568,-40.04893031158566,2.414623653410191,0.075924076,0.51654106,False
HELIX,L-CTT,L-TTA,518,670,-65.75043355453423,-39.065475278657615,-64.74406665203537,-38.93613881653425,1.01464390939862,0.07692308,0.46716902,False
HELIX,V-GTA,V-GTT,421,675,-66.25897528918753,-41.79368505959249,-65.7700976691547,-41.82427406179039,0.4898336599545094,0.07990012,0.41527003,False
HELIX,V-GTA,V-GTG,421,980,-66.25897528918753,-41.79368505959249,-65.88824628141758,-41.84891396922121,0.3748202631407097,0.08988764,0.42593765,False
HELIX,L-CTC,L-TTA,538,670,-64.87877847303554,-39.77677117882274,-64.74406665203537,-38.93613881653425,0.8513577645407985,0.09424084,0.42964214,False
HELIX,R-AGG,R-CGT,52,1064,-64.97108847966827,-39.745266931276056,-64.59572177345187,-39.454410155660234,0.4748661159288747,0.099726774,0.7355123,False
HELIX,C-TGT,C-TGT,157,157,-63.70603499254435,-39.85544812787212,-63.70603499254435,-39.85544812787212,0.0,0.09983361,0.40728348,False
HELIX,L-CTA,L-TTA,190,670,-65.47430266676895,-38.86011198088284,-64.74406665203537,-38.93613881653425,0.7341830268762267,0.09987516,0.41309637,False
HELIX,L-CTC,L-TTG,538,649,-64.87877847303554,-39.77677117882274,-65.69698732427888,-38.65900730605557,1.3852298724458725,0.10482529,0.4431792,False
HELIX,S-AGC,S-AGT,492,256,-65.59661769442553,-36.75192286713963,-65.18692928762984,-37.374747326985585,0.7454897037821554,0.10880829,0.47937742,False
HELIX,T-ACC,T-ACT,842,291,-66.49846221205568,-40.04893031158566,-67.17901543076658,-38.958275459634265,1.2855662913995831,0.109561756,0.50220776,False
HELIX,R-CGA,R-CGT,145,1064,-63.28639500012794,-39.74254510089181,-64.59572177345187,-39.454410155660234,1.340655938713012,0.10981697,0.712886,False
HELIX,V-GTC,V-GTT,595,675,-65.485954969493,-41.784460889118385,-65.7700976691547,-41.82427406179039,0.2869183899460788,0.10981697,0.4356059,False
HELIX,T-ACC,T-ACG,842,470,-66.49846221205568,-40.04893031158566,-66.18544147258316,-39.566971673182046,0.57468783915425,0.11308768,0.4748763,False
HELIX,Q-CAA,Q-CAG,816,1598,-64.82335148792089,-39.16749439919551,-65.17585072079608,-38.71116604565238,0.5766205645179386,0.113144755,0.40416202,False
HELIX,P-CCA,P-CCC,172,105,-58.23857101478669,-36.30407760854565,-58.764632184661075,-36.18743505299476,0.5388374896154188,0.12718205,0.404064,False
HELIX,S-TCT,S-TCT,259,259,-64.96733187562475,-37.49149575046861,-64.96733187562475,-37.49149575046861,0.0,0.12876254,0.41674697,False
HELIX,G-GGC,G-GGG,581,186,-61.09604895595323,-41.94639442905563,-60.451422532276595,-41.62874623642043,0.7186401049110287,0.13715711,0.4791324,False
HELIX,R-AGA,R-CGA,85,145,-64.30466009216094,-39.063074467164355,-63.28639500012794,-39.74254510089181,1.224150374648059,0.14214464,0.6624513,False
HELIX,L-CTT,L-TTG,518,649,-65.75043355453423,-39.065475278657615,-65.69698732427888,-38.65900730605557,0.40996672094174147,0.14577259,0.4988082,False
HELIX,L-TTA,L-TTG,670,649,-64.74406665203537,-38.93613881653425,-65.69698732427888,-38.65900730605557,0.992400968202469,0.15369262,0.4408587,False
HELIX,A-GCG,A-GCT,2189,978,-63.54513622626636,-39.21356402514725,-63.67269000901635,-39.21290832698693,0.12755546806745927,0.15679443,0.35705984,False
HELIX,L-CTC,L-CTG,538,2635,-64.87877847303554,-39.77677117882274,-65.42510481417735,-39.232811498228344,0.7709504556959283,0.1580756,0.4196748,False
HELIX,E-GAG,E-GAG,1057,1057,-64.89683749320105,-39.224318157995434,-64.89683749320105,-39.224318157995434,0.0,0.16091955,0.39459094,False
HELIX,R-AGG,R-AGG,52,52,-64.97108847966827,-39.745266931276056,-64.97108847966827,-39.745266931276056,0.0,0.16346154,0.6519824,False
HELIX,R-CGG,R-CGG,238,238,-64.8375856021512,-39.68233356826356,-64.8375856021512,-39.68233356826356,0.0,0.1670823,0.7079528,False
HELIX,R-AGA,R-CGC,85,995,-64.30466009216094,-39.063074467164355,-64.63380690826386,-39.203728552742426,0.3579402161541639,0.16787003,0.66709995,False
HELIX,L-CTG,L-TTG,2635,649,-65.42510481417735,-39.232811498228344,-65.69698732427888,-38.65900730605557,0.6349577547003846,0.17403708,0.41283756,False
HELIX,T-ACA,T-ACA,228,228,-68.58737311686653,-38.83779092267524,-68.58737311686653,-38.83779092267524,0.0,0.179402,0.45316654,False
HELIX,R-CGA,R-CGC,145,995,-63.28639500012794,-39.74254510089181,-64.63380690826386,-39.203728552742426,1.4511519984984722,0.18384402,0.7053961,False
HELIX,V-GTA,V-GTC,421,595,-66.25897528918753,-41.79368505959249,-65.485954969493,-41.784460889118385,0.7730753520722113,0.18983957,0.38109085,False
HELIX,I-ATA,I-ATC,194,1113,-65.5413682942293,-41.79271175763576,-64.75252925641702,-42.68359382164803,1.1899318802164163,0.1996008,0.39973533,False
