condition_group,subgroup1,subgroup2,n1,n2,phi1_mean,psi1_mean,phi2_mean,psi2_mean,d12,pval,ddist,significant
ANY,C-TGC,C-TGT,394,272,-91.61804016790833,10.70123730193156,-89.08500987269575,-16.51015012026097,27.329029399470492,0.00039992,0.3537664,True
ANY,G-GGA,G-GGT,454,1864,78.16985531482761,-17.78612337232044,91.60317084608522,-21.92672918870203,14.056976299652058,0.00039992,0.3161757,True
ANY,A-GCA,A-GCC,1490,2098,-74.6115248327369,-32.61759570215257,-74.78277816579664,-32.99501829530914,0.4144581015121943,0.0009998,0.15172784,True
ANY,L-CTA,L-TTA,177,690,-82.91914539192595,-15.367696821191494,-79.53544918653412,-22.754483229310463,8.124900827059625,0.00159968,0.37654567,False
ANY,G-GGC,G-GGG,2352,721,87.77682374096321,-15.407284597620889,4.075391170186311,-21.59034578717349,83.92949457773508,0.0019996,0.2992781,False
ANY,T-ACC,T-ACT,1825,604,-93.55301226920544,-15.866619941946123,-90.49916638940104,-23.615117800583334,8.328576932640038,0.0027994402,0.29165363,False
ANY,S-AGT,S-AGT,395,395,-84.83614043532758,-27.346537229073217,-84.83614043532758,-27.346537229073217,0.0,0.0029994,0.28886324,False
ANY,N-AAC,N-AAT,1689,1076,-79.58177152948515,2.750891558508016,-79.52626941228962,2.4859032705999704,0.27073839354923984,0.0029994,0.17651945,False
ANY,P-CCA,P-CCC,418,269,-63.653565479340315,-18.85868163806588,-62.97962388374599,-13.635236413690684,5.266742568829454,0.0041991603,0.24140196,False
ANY,G-GGG,G-GGT,721,1864,4.075391170186311,-21.59034578717349,91.60317084608522,-21.92672918870203,87.52842606139748,0.0043991203,0.28672507,False
ANY,A-GCA,A-GCT,1490,1140,-74.6115248327369,-32.61759570215257,-74.5295762230751,-32.17355827402087,0.45153605859036094,0.0043991203,0.14022662,False
ANY,S-TCG,S-TCT,459,532,-84.03601109481727,-23.466199186109545,-86.9422770772252,-22.66152435470659,3.0156066628118032,0.0077984403,0.2738413,False
ANY,Q-CAA,Q-CAG,1029,2293,-79.44509944419319,-24.779589921989636,-77.77596513558215,-26.14381434076755,2.1557174223381814,0.0112183085,0.1328802,False
ANY,S-TCA,S-TCC,305,581,-85.74815510463186,-21.131095820212877,-84.0386202270802,-26.436182295737236,5.573728734909606,0.017357422,0.24225332,False
ANY,P-CCC,P-CCG,269,1391,-62.97962388374599,-13.635236413690684,-63.90624149749576,-17.27986121330263,3.760573112180876,0.019357337,0.22394031,False
ANY,E-GAA,E-GAG,3311,1414,-76.34280020241673,-27.976024538454517,-75.13534570056353,-29.967434492863436,2.3288752608425534,0.020185709,0.12073761,False
ANY,R-AGA,R-AGG,40,33,-81.85699633447561,-17.61086584085979,-80.2841335422159,-25.85679954655986,8.394600648159237,0.021057155,0.58981323,False
ANY,L-CTG,L-TTG,4180,800,-80.29974735465855,-23.228616178472528,-82.0715803876299,-22.575673999481406,1.8883129470069633,0.021663778,0.28837258,False
ANY,H-CAC,H-CAT,793,913,-87.04815183954956,-5.997222841293954,-88.34492472517901,-5.509836336934301,1.385339496851099,0.022421524,0.16740099,False
ANY,G-GGG,G-GGG,721,721,4.075391170186311,-21.59034578717349,4.075391170186311,-21.59034578717349,0.0,0.024703557,0.2552792,False
ANY,T-ACA,T-ACT,289,604,-92.37462022227065,-11.205345390039874,-90.49916638940104,-23.615117800583334,12.550688362026639,0.025680535,0.25505757,False
ANY,V-GTA,V-GTC,785,1059,-93.02688962762853,76.43959764333414,-94.8755213076275,80.17861394972837,4.1710528680151935,0.035511363,0.13462472,False
ANY,S-AGT,S-TCC,395,581,-84.83614043532758,-27.346537229073217,-84.0386202270802,-26.436182295737236,1.2102828542171793,0.03834356,0.23880328,False
ANY,L-TTG,L-TTG,800,800,-82.0715803876299,-22.575673999481406,-82.0715803876299,-22.575673999481406,0.0,0.041288193,0.2744412,False
ANY,I-ATA,I-ATT,132,2172,-87.43985635826063,9.948699012010602,-89.91763725327698,35.35625908761215,25.528092509214428,0.042881645,0.30974498,False
ANY,G-GGA,G-GGG,454,721,78.16985531482761,-17.78612337232044,4.075391170186311,-21.59034578717349,74.19205971708297,0.043782838,0.2500552,False
ANY,S-TCC,S-TCC,581,581,-84.0386202270802,-26.436182295737236,-84.0386202270802,-26.436182295737236,0.0,0.04621072,0.22304982,False
ANY,T-ACC,T-ACG,1825,868,-93.55301226920544,-15.866619941946123,-89.58791670128379,-16.571512539764363,4.027264137998758,0.04901961,0.22747506,False
ANY,S-TCA,S-TCT,305,532,-85.74815510463186,-21.131095820212877,-86.9422770772252,-22.66152435470659,1.941169437381175,0.050251257,0.23788053,False
ANY,P-CCC,P-CCT,269,321,-62.97962388374599,-13.635236413690684,-62.9342031257654,-18.61408402615126,4.979054789150238,0.051813472,0.19240612,False
ANY,L-CTC,L-TTA,728,690,-82.46047769859209,-17.788875938555954,-79.53544918653412,-22.754483229310463,5.763076223888274,0.055248618,0.27814057,False
ANY,R-AGA,R-AGA,40,40,-81.85699633447561,-17.61086584085979,-81.85699633447561,-17.61086584085979,0.0,0.06666667,0.6003898,False
ANY,R-AGA,R-CGA,40,154,-81.85699633447561,-17.61086584085979,-82.27820727040113,-21.20993327870775,3.623631476119052,0.06877579,0.5891158,False
ANY,L-CTA,L-CTT,177,637,-82.91914539192595,-15.367696821191494,-81.27774165134517,-21.52266544268783,6.3700741731315125,0.06993007,0.2595631,False
ANY,G-GGC,G-GGT,2352,1864,87.77682374096321,-15.407284597620889,91.60317084608522,-21.92672918870203,7.559371001945386,0.07173601,0.25543818,False
ANY,S-AGC,S-TCC,1007,581,-83.77900473672803,-22.13687191134852,-84.0386202270802,-26.436182295737236,4.307141741821769,0.07225434,0.21844284,False
ANY,S-AGC,S-TCT,1007,532,-83.77900473672803,-22.13687191134852,-86.9422770772252,-22.66152435470659,3.2064859404769055,0.079744816,0.20978507,False
ANY,I-ATA,I-ATC,132,1856,-87.43985635826063,9.948699012010602,-89.03744443531578,12.026191548076483,2.620737091231821,0.079872206,0.2890848,False
ANY,G-GGA,G-GGC,454,2352,78.16985531482761,-17.78612337232044,87.77682374096321,-15.407284597620889,9.89710645879795,0.08130081,0.24190001,False
ANY,T-ACA,T-ACA,289,289,-92.37462022227065,-11.205345390039874,-92.37462022227065,-11.205345390039874,0.0,0.083333336,0.21510135,False
ANY,Y-TAT,Y-TAT,1100,1100,-92.38309648703064,-2.754529488014694,-92.38309648703064,-2.754529488014694,0.0,0.08460237,0.12842159,False
ANY,S-AGT,S-TCA,395,305,-84.83614043532758,-27.346537229073217,-85.74815510463186,-21.131095820212877,6.281996709964277,0.090252705,0.22109234,False
ANY,L-CTC,L-TTG,728,800,-82.46047769859209,-17.788875938555954,-82.0715803876299,-22.575673999481406,4.802569811523126,0.09293681,0.24755566,False
ANY,R-AGG,R-CGT,33,1585,-80.2841335422159,-25.85679954655986,-78.35873736613516,-25.517965814666574,1.9549830517769415,0.099403575,0.5484683,False
ANY,D-GAC,D-GAT,1547,2386,-76.37813277099319,-15.271329682191784,-77.79998008070392,-14.015589158001186,1.8969802413905386,0.10141988,0.13106358,False
ANY,P-CCG,P-CCT,1391,321,-63.90624149749576,-17.27986121330263,-62.9342031257654,-18.61408402615126,1.6507601613929055,0.10460251,0.16480976,False
ANY,V-GTG,V-GTT,2037,1382,-94.14796272704857,87.17650475443244,-94.32624432476425,66.05380323670951,21.123453877974093,0.105932206,0.1196996,False
ANY,S-TCA,S-TCG,305,459,-85.74815510463186,-21.131095820212877,-84.03601109481727,-23.466199186109545,2.8955387822935443,0.111856826,0.21047927,False
ANY,L-CTC,L-CTG,728,4180,-82.46047769859209,-17.788875938555954,-80.29974735465855,-23.228616178472528,5.853164058606487,0.11682243,0.2518571,False
ANY,S-TCC,S-TCG,581,459,-84.0386202270802,-26.436182295737236,-84.03601109481727,-23.466199186109545,2.9699842556897402,0.12722646,0.19597454,False
