condition_group,subgroup1,subgroup2,n1,n2,phi1_mean,psi1_mean,phi2_mean,psi2_mean,d12,pval,ddist,significant
HELIX,P-CCA,P-CCC,222,225,-58.736355201497226,-36.283392380644266,-58.1560486692346,-36.887717273123236,0.8378330663422121,0.0059988,0.4386367,False
HELIX,S-AGC,S-AGT,298,303,-66.17626852852784,-36.691602051484665,-65.23935781969885,-37.38360608233909,1.16476231697167,0.012496876,0.544573,False
HELIX,P-CCC,P-CCT,225,235,-58.1560486692346,-36.887717273123236,-58.647310025287766,-36.89660334923342,0.49134171642537405,0.013680611,0.4170816,False
HELIX,P-CCC,P-CCG,225,237,-58.1560486692346,-36.887717273123236,-58.646381119560644,-36.437986882318334,0.6653445244805701,0.015678255,0.4010238,False
HELIX,S-AGT,S-TCT,303,293,-65.23935781969885,-37.38360608233909,-66.2804357435597,-36.73656177169627,1.225768976392234,0.020824656,0.51536345,False
HELIX,S-TCA,S-TCG,334,313,-65.73822117629824,-36.3780451421623,-64.96106859215585,-37.02036296189947,1.0082352506191727,0.02245389,0.5167997,False
HELIX,T-ACA,T-ACT,506,423,-67.04304685495914,-39.9619580977893,-67.51116069991514,-39.023247634114014,1.048955626541446,0.022716947,0.5509166,False
HELIX,P-CCA,P-CCT,222,235,-58.736355201497226,-36.283392380644266,-58.647310025287766,-36.89660334923342,0.6196424254392436,0.023171285,0.3969264,False
HELIX,R-CGA,R-CGG,423,480,-64.39714085352291,-38.90602792757825,-65.1307236609498,-39.48584951640981,0.9350597896538211,0.025897318,0.484958,False
HELIX,G-GGG,G-GGT,349,332,-61.267063232392005,-41.97052548739329,-61.46507041643068,-41.844689497219555,0.23460933773813575,0.027486257,0.49094078,False
HELIX,S-TCG,S-TCT,313,293,-64.96106859215585,-37.02036296189947,-66.2804357435597,-36.73656177169627,1.3495454033726582,0.02770637,0.5132045,False
HELIX,S-AGT,S-TCG,303,313,-65.23935781969885,-37.38360608233909,-64.96106859215585,-37.02036296189947,0.4575920221258128,0.028485756,0.51425165,False
