condition_group,subgroup1,subgroup2,n1,n2,phi1_mean,psi1_mean,phi2_mean,psi2_mean,d12,pval,ddist,significant
ANY,G-GGC,G-GGG,3131,1047,87.85569193530934,-16.170141595830444,27.887780201925246,-24.141894432773274,60.49544843173123,0.00019996,0.34834245,True
ANY,S-TCC,S-TCG,817,676,-85.29060073213272,-23.005660020943097,-83.92908448336071,-21.570792663127033,1.9780219488661466,0.00019996,0.2837247,True
ANY,T-ACA,T-ACC,670,2412,-94.16781125677663,0.09788266726308582,-93.57322962914867,-14.545654526276486,14.655603326048691,0.00019996,0.27994508,True
ANY,G-GGG,G-GGT,1047,2631,27.887780201925246,-24.141894432773274,91.82610139040527,-19.958784349186693,64.07501327641405,0.00039992,0.29999307,True
ANY,T-ACA,T-ACG,670,1254,-94.16781125677663,0.09788266726308582,-90.14703598674103,-13.05652899946749,13.755187387671144,0.00039992,0.27796158,True
ANY,S-TCA,S-TCG,604,676,-85.86182311279921,-21.584388154669945,-83.92908448336071,-21.570792663127033,1.932786446329272,0.00039992,0.2731837,True
ANY,V-GTA,V-GTC,1193,1510,-92.72358824734494,68.42624212415676,-94.42045312398623,85.69855427087924,17.355463615340142,0.00039992,0.2012385,True
ANY,V-GTA,V-GTT,1193,2079,-92.72358824734494,68.42624212415676,-95.31901915081477,87.22017698398551,18.972302155778888,0.00039992,0.19871698,True
ANY,E-GAA,E-GAG,4574,2082,-76.37772978983216,-27.59053549188817,-75.36028432049956,-29.250681271551468,1.9471207699573534,0.00039992,0.19500484,True
ANY,A-GCA,A-GCT,2215,1767,-74.96640780163243,-33.06464524370825,-75.08776660280522,-32.84965820939293,0.2468752388268072,0.00039992,0.17851818,True
ANY,R-CGA,R-CGG,311,440,-81.04952454060752,-21.12333160267387,-81.28201051957642,-26.12245633923292,5.004527736169892,0.0009998,0.571245,True
ANY,S-TCA,S-TCC,604,817,-85.86182311279921,-21.584388154669945,-85.29060073213272,-23.005660020943097,1.5317665377053633,0.0009998,0.28207842,True
ANY,R-AGA,R-CGG,224,440,-84.93850448041856,-18.861775713759897,-81.28201051957642,-26.12245633923292,8.129417644013273,0.0017996401,0.6082057,True
ANY,R-AGA,R-CGT,224,2082,-84.93850448041856,-18.861775713759897,-79.43059895258526,-24.873050815497507,8.153063942611217,0.0017996401,0.5792961,True
ANY,G-GGA,G-GGG,827,1047,87.07127202989005,-17.708841489409036,27.887780201925246,-24.141894432773274,59.5320911368222,0.0021995602,0.28133246,True
ANY,K-AAA,K-AAG,3860,1068,-78.63439014065852,-24.097064486155897,-79.40857159251196,-24.02858671708464,0.7772040435116566,0.0021995602,0.18742517,True
ANY,G-GGA,G-GGT,827,2631,87.07127202989005,-17.708841489409036,91.82610139040527,-19.958784349186693,5.260289452100702,0.00259948,0.2933716,True
ANY,T-ACC,T-ACG,2412,1254,-93.57322962914867,-14.545654526276486,-90.14703598674103,-13.05652899946749,3.7358128579826833,0.00259948,0.2307876,True
ANY,G-GGA,G-GGC,827,3131,87.07127202989005,-17.708841489409036,87.85569193530934,-16.170141595830444,1.7271108680443124,0.00379924,0.28458846,True
ANY,T-ACG,T-ACT,1254,940,-90.14703598674103,-13.05652899946749,-92.3322662192274,-14.705708056644688,2.737703915985858,0.00459908,0.23580869,True
ANY,P-CCG,P-CCT,1765,545,-64.03132958195538,-17.485326963914954,-63.72504340900449,-16.364738807925985,1.161692315152193,0.0053989203,0.23338228,True
ANY,R-AGA,R-AGG,224,107,-84.93850448041856,-18.861775713759897,-78.49015703595536,-31.080912421926424,13.816239960907513,0.0059988,0.5413083,True
ANY,S-AGC,S-TCA,1384,604,-84.57376554855071,-22.295598677470448,-85.86182311279921,-21.584388154669945,1.4713642297405427,0.00639872,0.24438523,True
ANY,H-CAC,H-CAT,1045,1344,-87.95318605552211,-3.273494518228256,-89.48875601491355,-3.4559271634120043,1.5463688984890243,0.0065986803,0.20346017,True
ANY,L-CTT,L-TTG,1057,1237,-81.0160019721611,-20.70368819516287,-82.46504026495765,-19.45918333215694,1.9101058421030312,0.009798041,0.29343858,False
ANY,S-AGT,S-TCT,736,861,-85.31372775266237,-22.905778749615415,-86.77194581970342,-19.662540261863022,3.5559802895240207,0.010444955,0.23547186,False
ANY,P-CCA,P-CCC,696,404,-63.6978934070537,-17.089802661910564,-63.5628469067842,-13.949692346662548,3.1430129412972567,0.011268876,0.21026091,False
ANY,L-CTA,L-CTC,316,1043,-80.95565042065488,-23.814238305456715,-81.9070821116593,-18.414743247677148,5.482679011362378,0.013379716,0.2834645,False
ANY,A-GCA,A-GCG,2215,3574,-74.96640780163243,-33.06464524370825,-74.68369261150727,-33.882000321305334,0.8648683146012739,0.014425851,0.15534763,False
ANY,H-CAT,H-CAT,1344,1344,-89.48875601491355,-3.4559271634120043,-89.48875601491355,-3.4559271634120043,0.0,0.014710209,0.19112852,False
ANY,P-CCC,P-CCT,404,545,-63.5628469067842,-13.949692346662548,-63.72504340900449,-16.364738807925985,2.420486958319242,0.0149700595,0.20985505,False
ANY,R-CGC,R-CGC,2217,2217,-79.55565971628819,-22.660648382945535,-79.55565971628819,-22.660648382945535,0.0,0.015216068,0.46504095,False
ANY,L-CTA,L-CTT,316,1057,-80.95565042065488,-23.814238305456715,-81.0160019721611,-20.70368819516287,3.111135531991217,0.015787812,0.2798982,False
