condition_group,subgroup1,subgroup2,n1,n2,phi1_mean,psi1_mean,phi2_mean,psi2_mean,d12,pval,ddist,significant
ANY,R-AGA,R-CGG,224,440,-84.93850448041856,-18.861775713759897,-81.28201051957642,-26.12245633923292,8.129417644013273,0.0013997201,0.56562454,False
ANY,R-AGA,R-CGA,224,311,-84.93850448041856,-18.861775713759897,-81.04952454060752,-21.12333160267387,4.498755384651855,0.0053989203,0.5563421,False
ANY,G-GGC,G-GGG,3131,1047,87.85569193530934,-16.170141595830444,27.887780201925246,-24.141894432773274,60.49544843173123,0.008798241,0.518745,False
ANY,T-ACC,T-ACG,2412,1254,-93.57322962914867,-14.545654526276486,-90.14703598674103,-13.05652899946749,3.7358128579826833,0.0089982,0.3816175,False
ANY,R-AGA,R-AGG,224,107,-84.93850448041856,-18.861775713759897,-78.49015703595536,-31.080912421926424,13.816239960907513,0.0116306115,0.52508456,False
ANY,S-TCA,S-TCC,604,817,-85.86182311279921,-21.584388154669945,-85.29060073213272,-23.005660020943097,1.5317665377053633,0.011961723,0.404193,False
ANY,L-CTA,L-TTA,316,1199,-80.95565042065488,-23.814238305456715,-79.67462795125147,-23.911621435095466,1.2847186622193303,0.012496876,0.36956862,False
ANY,R-CGC,R-CGT,2217,2082,-79.55565971628819,-22.660648382945535,-79.43059895258526,-24.873050815497507,2.2159342765930234,0.012584948,0.5314678,False
ANY,R-AGG,R-CGC,107,2217,-78.49015703595536,-31.080912421926424,-79.55565971628819,-22.660648382945535,8.48741082120756,0.013627691,0.5143827,False
ANY,A-GCG,A-GCG,3574,3574,-74.68369261150727,-33.882000321305334,-74.68369261150727,-33.882000321305334,0.0,0.017099863,0.31899685,False
ANY,P-CCA,P-CCC,696,404,-63.6978934070537,-17.089802661910564,-63.5628469067842,-13.949692346662548,3.1430129412972567,0.017129153,0.2792234,False
ANY,S-AGT,S-TCC,736,817,-85.31372775266237,-22.905778749615415,-85.29060073213272,-23.005660020943097,0.10252378963252083,0.021729684,0.3677604,False
ANY,C-TGC,C-TGT,562,416,-91.86471244978335,2.0322224691338593,-90.4993576346978,-14.034507074454828,16.124639282722043,0.022341376,0.39438838,False
ANY,Y-TAC,Y-TAC,1468,1468,-91.83056150393328,-7.640370841434031,-91.83056150393328,-7.640370841434031,0.0,0.02689618,0.40192398,False
ANY,I-ATA,I-ATT,410,3138,-87.62427146585097,2.0387698457835515,-89.94306604755694,41.46399182835597,39.49335306969086,0.029550828,0.33707407,False
ANY,P-CCC,P-CCT,404,545,-63.5628469067842,-13.949692346662548,-63.72504340900449,-16.364738807925985,2.420486958319242,0.030266345,0.27862072,False
ANY,S-TCA,S-TCT,604,861,-85.86182311279921,-21.584388154669945,-86.77194581970342,-19.662540261863022,2.126457774024454,0.036231883,0.38787758,False
ANY,G-GGA,G-GGC,827,3131,87.07127202989005,-17.708841489409036,87.85569193530934,-16.170141595830444,1.7271108680443124,0.037821483,0.50092685,False
ANY,G-GGG,G-GGT,1047,2631,27.887780201925246,-24.141894432773274,91.82610139040527,-19.958784349186693,64.07501327641405,0.04,0.4653374,False
ANY,R-AGG,R-CGG,107,440,-78.49015703595536,-31.080912421926424,-81.28201051957642,-26.12245633923292,5.690407067864935,0.04240882,0.4435661,False
ANY,R-AGA,R-CGC,224,2217,-84.93850448041856,-18.861775713759897,-79.55565971628819,-22.660648382945535,6.588357254385294,0.04516712,0.4881832,False
ANY,L-CTC,L-TTG,1043,1237,-81.9070821116593,-18.414743247677148,-82.46504026495765,-19.45918333215694,1.1841336034841048,0.051177073,0.3305429,False
ANY,A-GCA,A-GCG,2215,3574,-74.96640780163243,-33.06464524370825,-74.68369261150727,-33.882000321305334,0.8648683146012739,0.051706307,0.31388047,False
ANY,S-AGT,S-TCA,736,604,-85.31372775266237,-22.905778749615415,-85.86182311279921,-21.584388154669945,1.4305529099665895,0.052687038,0.3343895,False
ANY,K-AAG,K-AAG,1068,1068,-79.40857159251196,-24.02858671708464,-79.40857159251196,-24.02858671708464,0.0,0.05605381,0.35087433,False
ANY,L-CTT,L-CTT,1057,1057,-81.0160019721611,-20.70368819516287,-81.0160019721611,-20.70368819516287,0.0,0.05688282,0.2967264,False
ANY,T-ACG,T-ACT,1254,940,-90.14703598674103,-13.05652899946749,-92.3322662192274,-14.705708056644688,2.737703915985858,0.057803467,0.36985007,False
ANY,A-GCG,A-GCT,3574,1767,-74.68369261150727,-33.882000321305334,-75.08776660280522,-32.84965820939293,1.1086054421980926,0.05787037,0.28987053,False
ANY,G-GGA,G-GGG,827,1047,87.07127202989005,-17.708841489409036,27.887780201925246,-24.141894432773274,59.5320911368222,0.058892816,0.48188123,False
ANY,N-AAT,N-AAT,1874,1874,-80.28309535346206,4.244379014875712,-80.28309535346206,4.244379014875712,0.0,0.0650195,0.40326858,False
ANY,S-AGC,S-TCT,1384,861,-84.57376554855071,-22.295598677470448,-86.77194581970342,-19.662540261863022,3.4300135749711114,0.08169935,0.3768202,False
ANY,P-CCC,P-CCG,404,1765,-63.5628469067842,-13.949692346662548,-64.03132958195538,-17.485326963914954,3.5665372791615555,0.0877193,0.24047601,False
ANY,R-AGA,R-CGT,224,2082,-84.93850448041856,-18.861775713759897,-79.43059895258526,-24.873050815497507,8.153063942611217,0.088339224,0.47700006,False
ANY,Y-TAC,Y-TAT,1468,1801,-91.83056150393328,-7.640370841434031,-93.41134731563021,6.81559519019055,14.54214006568311,0.09596929,0.3551068,False
ANY,P-CCA,P-CCG,696,1765,-63.6978934070537,-17.089802661910564,-64.03132958195538,-17.485326963914954,0.517319201469582,0.09920635,0.23348315,False
ANY,A-GCA,A-GCA,2215,2215,-74.96640780163243,-33.06464524370825,-74.96640780163243,-33.06464524370825,0.0,0.10288066,0.279526,False
ANY,V-GTA,V-GTA,1193,1193,-92.72358824734494,68.42624212415676,-92.72358824734494,68.42624212415676,0.0,0.10288066,0.2734911,False
ANY,I-ATT,I-ATT,3138,3138,-89.94306604755694,41.46399182835597,-89.94306604755694,41.46399182835597,0.0,0.10504202,0.27961522,False
ANY,L-CTA,L-CTG,316,5316,-80.95565042065488,-23.814238305456715,-80.18566270495182,-23.621782357665975,0.7936752321785213,0.1091703,0.29828995,False
ANY,R-AGG,R-CGA,107,311,-78.49015703595536,-31.080912421926424,-81.04952454060752,-21.12333160267387,10.281234254495704,0.12658228,0.39970586,False
ANY,Q-CAA,Q-CAA,1598,1598,-79.55397948975236,-24.628934731919372,-79.55397948975236,-24.628934731919372,0.0,0.132626,0.30353317,False
ANY,L-CTC,L-CTG,1043,5316,-81.9070821116593,-18.414743247677148,-80.18566270495182,-23.621782357665975,5.484208335461224,0.132626,0.2907035,False
ANY,S-TCG,S-TCT,676,861,-83.92908448336071,-21.570792663127033,-86.77194581970342,-19.662540261863022,3.423928709042014,0.14285715,0.34987286,False
ANY,L-CTA,L-CTC,316,1043,-80.95565042065488,-23.814238305456715,-81.9070821116593,-18.414743247677148,5.482679011362378,0.14577259,0.29271534,False
ANY,S-AGC,S-TCC,1384,817,-84.57376554855071,-22.295598677470448,-85.29060073213272,-23.005660020943097,1.0089795795333192,0.14626865,0.34058067,False
ANY,I-ATA,I-ATC,410,2551,-87.62427146585097,2.0387698457835515,-88.96089167509828,14.080695374943392,12.115879003753705,0.15197569,0.2734483,False
ANY,A-GCC,A-GCG,2817,3574,-75.15391698491679,-32.87342726770457,-74.68369261150727,-33.882000321305334,1.1128030220115106,0.15432099,0.27715364,False
ANY,R-CGA,R-CGA,311,311,-81.04952454060752,-21.12333160267387,-81.04952454060752,-21.12333160267387,0.0,0.16181229,0.4016569,False
ANY,T-ACC,T-ACC,2412,2412,-93.57322962914867,-14.545654526276486,-93.57322962914867,-14.545654526276486,0.0,0.16666667,0.31911883,False
ANY,G-GGG,G-GGG,1047,1047,27.887780201925246,-24.141894432773274,27.887780201925246,-24.141894432773274,0.0,0.16778524,0.44646296,False
ANY,L-TTA,L-TTG,1199,1237,-79.67462795125147,-23.911621435095466,-82.46504026495765,-19.45918333215694,5.254579520854345,0.16778524,0.28508955,False
ANY,S-AGC,S-TCG,1384,676,-84.57376554855071,-22.295598677470448,-83.92908448336071,-21.570792663127033,0.9700296048280632,0.17182131,0.32675493,False
ANY,R-CGT,R-CGT,2082,2082,-79.43059895258526,-24.873050815497507,-79.43059895258526,-24.873050815497507,0.0,0.1724138,0.42557615,False
ANY,V-GTA,V-GTC,1193,1510,-92.72358824734494,68.42624212415676,-94.42045312398623,85.69855427087924,17.355463615340142,0.1754386,0.27998936,False
ANY,A-GCA,A-GCT,2215,1767,-74.96640780163243,-33.06464524370825,-75.08776660280522,-32.84965820939293,0.2468752388268072,0.17857143,0.2722009,False
ANY,S-AGC,S-AGT,1384,736,-84.57376554855071,-22.295598677470448,-85.31372775266237,-22.905778749615415,0.9590952945128234,0.18518518,0.33579326,False
ANY,G-GGA,G-GGA,827,827,87.07127202989005,-17.708841489409036,87.07127202989005,-17.708841489409036,0.0,0.19685039,0.42794812,False
ANY,S-TCA,S-TCG,604,676,-85.86182311279921,-21.584388154669945,-83.92908448336071,-21.570792663127033,1.932786446329272,0.19685039,0.3270215,False
ANY,P-CCA,P-CCT,696,545,-63.6978934070537,-17.089802661910564,-63.72504340900449,-16.364738807925985,0.725571991576923,0.21551724,0.22149011,False
ANY,T-ACG,T-ACG,1254,1254,-90.14703598674103,-13.05652899946749,-90.14703598674103,-13.05652899946749,0.0,0.2173913,0.3037939,False
ANY,T-ACA,T-ACC,670,2412,-94.16781125677663,0.09788266726308582,-93.57322962914867,-14.545654526276486,14.655603326048691,0.21929824,0.3177476,False
ANY,A-GCT,A-GCT,1767,1767,-75.08776660280522,-32.84965820939293,-75.08776660280522,-32.84965820939293,0.0,0.22727273,0.24642019,False
ANY,H-CAC,H-CAT,1045,1344,-87.95318605552211,-3.273494518228256,-89.48875601491355,-3.4559271634120043,1.5463688984890243,0.2283105,0.34116325,False
ANY,R-CGA,R-CGC,311,2217,-81.04952454060752,-21.12333160267387,-79.55565971628819,-22.660648382945535,2.14358927881334,0.23041475,0.41580015,False
ANY,R-AGG,R-CGT,107,2082,-78.49015703595536,-31.080912421926424,-79.43059895258526,-24.873050815497507,6.2786922781044705,0.24390244,0.40615416,False
ANY,I-ATC,I-ATT,2551,3138,-88.96089167509828,14.080695374943392,-89.94306604755694,41.46399182835597,27.400904933111107,0.25252524,0.2560568,False
ANY,V-GTA,V-GTT,1193,2079,-92.72358824734494,68.42624212415676,-95.31901915081477,87.22017698398551,18.972302155778888,0.26041666,0.24656253,False
ANY,V-GTA,V-GTG,1193,2728,-92.72358824734494,68.42624212415676,-94.55317735993792,97.69718856697565,29.328070205509444,0.2617801,0.25111464,False
ANY,E-GAA,E-GAA,4574,4574,-76.37772978983216,-27.59053549188817,-76.37772978983216,-27.59053549188817,0.0,0.26455027,0.2905269,False
ANY,S-TCC,S-TCG,817,676,-85.29060073213272,-23.005660020943097,-83.92908448336071,-21.570792663127033,1.9780219488661466,0.27173913,0.28481182,False
ANY,T-ACA,T-ACT,670,940,-94.16781125677663,0.09788266726308582,-92.3322662192274,-14.705708056644688,14.916954243606162,0.27322406,0.30308992,False
ANY,L-CTA,L-CTT,316,1057,-80.95565042065488,-23.814238305456715,-81.0160019721611,-20.70368819516287,3.111135531991217,0.27322406,0.26421422,False
ANY,Q-CAA,Q-CAG,1598,3088,-79.55397948975236,-24.628934731919372,-78.28897381395264,-25.283191722325725,1.4241810170414038,0.2777778,0.2930923,False
ANY,R-CGC,R-CGC,2217,2217,-79.55565971628819,-22.660648382945535,-79.55565971628819,-22.660648382945535,0.0,0.2793296,0.40349042,False
ANY,V-GTC,V-GTT,1510,2079,-94.42045312398623,85.69855427087924,-95.31901915081477,87.22017698398551,1.7671323056328612,0.2793296,0.28150973,False
ANY,R-CGA,R-CGG,311,440,-81.04952454060752,-21.12333160267387,-81.28201051957642,-26.12245633923292,5.004527736169892,0.29069766,0.41214252,False
ANY,E-GAG,E-GAG,2082,2082,-75.36028432049956,-29.250681271551468,-75.36028432049956,-29.250681271551468,0.0,0.29411766,0.2602801,False
