condition_group,subgroup1,subgroup2,n1,n2,phi1_mean,psi1_mean,phi2_mean,psi2_mean,d12,pval,ddist,significant
ANY,L-CTA,L-CTG,177,4180,-82.91914539192595,-15.367696821191494,-80.29974735465855,-23.228616178472528,8.285849336025606,0.00019996,0.5040783,True
ANY,D-GAC,D-GAT,1547,2386,-76.37813277099319,-15.271329682191784,-77.79998008070392,-14.015589158001186,1.8969802413905386,0.00019996,0.25338477,True
ANY,Y-TAC,Y-TAT,1054,1100,-90.61434386937496,-11.843583879295252,-92.38309648703064,-2.754529488014694,9.259556984549542,0.00019996,0.23054399,True
ANY,G-GGA,G-GGC,454,2352,78.16985531482761,-17.78612337232044,87.77682374096321,-15.407284597620889,9.89710645879795,0.00039992,0.41138083,True
ANY,H-CAC,H-CAT,793,913,-87.04815183954956,-5.997222841293954,-88.34492472517901,-5.509836336934301,1.385339496851099,0.00079984,0.24904315,True
ANY,Q-CAA,Q-CAG,1029,2293,-79.44509944419319,-24.779589921989636,-77.77596513558215,-26.14381434076755,2.1557174223381814,0.0009998,0.19234945,True
ANY,S-AGT,S-TCG,395,459,-84.83614043532758,-27.346537229073217,-84.03601109481727,-23.466199186109545,3.9619730298446765,0.0017996401,0.3608197,True
ANY,S-TCA,S-TCG,305,459,-85.74815510463186,-21.131095820212877,-84.03601109481727,-23.466199186109545,2.8955387822935443,0.0017996401,0.34097618,True
ANY,C-TGC,C-TGT,394,272,-91.61804016790833,10.70123730193156,-89.08500987269575,-16.51015012026097,27.329029399470492,0.00259948,0.38936916,True
ANY,K-AAA,K-AAG,2642,640,-77.78591672120287,-25.457993338659275,-78.59852481732679,-25.397233683350134,0.814876465238406,0.00259948,0.22773929,True
ANY,V-GTG,V-GTT,2037,1382,-94.14796272704857,87.17650475443244,-94.32624432476425,66.05380323670951,21.123453877974093,0.0029994,0.19850984,True
ANY,S-AGC,S-TCG,1007,459,-83.77900473672803,-22.13687191134852,-84.03601109481727,-23.466199186109545,1.3539435998304605,0.0035992803,0.3505593,True
ANY,G-GGA,G-GGT,454,1864,78.16985531482761,-17.78612337232044,91.60317084608522,-21.92672918870203,14.056976299652058,0.0043991203,0.38493985,True
ANY,S-AGT,S-TCA,395,305,-84.83614043532758,-27.346537229073217,-85.74815510463186,-21.131095820212877,6.281996709964277,0.0043991203,0.33815947,True
ANY,G-GGG,G-GGT,721,1864,4.075391170186311,-21.59034578717349,91.60317084608522,-21.92672918870203,87.52842606139748,0.00459908,0.37865284,True
ANY,G-GGC,G-GGG,2352,721,87.77682374096321,-15.407284597620889,4.075391170186311,-21.59034578717349,83.92949457773508,0.00459908,0.35852015,True
ANY,T-ACG,T-ACT,868,604,-89.58791670128379,-16.571512539764363,-90.49916638940104,-23.615117800583334,7.102306038487109,0.00459908,0.34689808,True
ANY,S-AGC,S-TCA,1007,305,-83.77900473672803,-22.13687191134852,-85.74815510463186,-21.131095820212877,2.2111396873368143,0.00459908,0.3387813,True
ANY,L-CTC,L-TTA,728,690,-82.46047769859209,-17.788875938555954,-79.53544918653412,-22.754483229310463,5.763076223888274,0.0055988804,0.40605775,True
ANY,A-GCA,A-GCT,1490,1140,-74.6115248327369,-32.61759570215257,-74.5295762230751,-32.17355827402087,0.45153605859036094,0.008798241,0.15828735,False
ANY,P-CCA,P-CCC,418,269,-63.653565479340315,-18.85868163806588,-62.97962388374599,-13.635236413690684,5.266742568829454,0.0155521,0.25284198,False
ANY,S-AGC,S-AGT,1007,395,-83.77900473672803,-22.13687191134852,-84.83614043532758,-27.346537229073217,5.3158394076530495,0.017373176,0.3048049,False
ANY,R-AGG,R-CGT,33,1585,-80.2841335422159,-25.85679954655986,-78.35873736613516,-25.517965814666574,1.9549830517769415,0.020424837,0.6844909,False
ANY,F-TTC,F-TTT,1210,1409,-89.19250338985341,-10.507741457839682,-89.74011380655918,-8.686676421330883,1.9016190564041648,0.02354049,0.17662764,False
ANY,L-CTA,L-CTC,177,728,-82.91914539192595,-15.367696821191494,-82.46047769859209,-17.788875938555954,2.4642411349683204,0.026595745,0.37811467,False
ANY,T-ACA,T-ACG,289,868,-92.37462022227065,-11.205345390039874,-89.58791670128379,-16.571512539764363,6.046607841812039,0.028280543,0.31050783,False
ANY,S-AGT,S-AGT,395,395,-84.83614043532758,-27.346537229073217,-84.83614043532758,-27.346537229073217,0.0,0.02997602,0.28473803,False
ANY,G-GGA,G-GGG,454,721,78.16985531482761,-17.78612337232044,4.075391170186311,-21.59034578717349,74.19205971708297,0.030395137,0.32440373,False
ANY,I-ATA,I-ATC,132,1856,-87.43985635826063,9.948699012010602,-89.03744443531578,12.026191548076483,2.620737091231821,0.03126994,0.38720754,False
ANY,T-ACC,T-ACT,1825,604,-93.55301226920544,-15.866619941946123,-90.49916638940104,-23.615117800583334,8.328576932640038,0.033467203,0.31677327,False
ANY,V-GTC,V-GTT,1059,1382,-94.8755213076275,80.17861394972837,-94.32624432476425,66.05380323670951,14.13548665177523,0.0385208,0.16550563,False
ANY,R-AGG,R-AGG,33,33,-80.2841335422159,-25.85679954655986,-80.2841335422159,-25.85679954655986,0.0,0.04071661,0.6250873,False
ANY,T-ACA,T-ACT,289,604,-92.37462022227065,-11.205345390039874,-90.49916638940104,-23.615117800583334,12.550688362026639,0.048262548,0.29744712,False
ANY,P-CCC,P-CCT,269,321,-62.97962388374599,-13.635236413690684,-62.9342031257654,-18.61408402615126,4.979054789150238,0.048449613,0.21661325,False
ANY,S-TCC,S-TCT,581,532,-84.0386202270802,-26.436182295737236,-86.9422770772252,-22.66152435470659,4.762275262432829,0.053821314,0.3107691,False
ANY,A-GCA,A-GCC,1490,2098,-74.6115248327369,-32.61759570215257,-74.78277816579664,-32.99501829530914,0.4144581015121943,0.05543237,0.14169028,False
ANY,R-AGA,R-CGT,40,1585,-81.85699633447561,-17.61086584085979,-78.35873736613516,-25.517965814666574,8.646389177301103,0.056561086,0.765286,False
ANY,R-AGA,R-AGG,40,33,-81.85699633447561,-17.61086584085979,-80.2841335422159,-25.85679954655986,8.394600648159237,0.057077624,0.73042727,False
ANY,R-AGG,R-CGC,33,1711,-80.2841335422159,-25.85679954655986,-78.50835949009345,-23.391620350562174,3.0381708234678224,0.057803467,0.7065733,False
ANY,V-GTA,V-GTT,785,1382,-93.02688962762853,76.43959764333414,-94.32624432476425,66.05380323670951,10.466759196888217,0.061728396,0.16748714,False
ANY,I-ATT,I-ATT,2172,2172,-89.91763725327698,35.35625908761215,-89.91763725327698,35.35625908761215,0.0,0.069735005,0.37452984,False
ANY,L-CTT,L-TTG,637,800,-81.27774165134517,-21.52266544268783,-82.0715803876299,-22.575673999481406,1.318714131230353,0.07194245,0.33968192,False
ANY,T-ACA,T-ACA,289,289,-92.37462022227065,-11.205345390039874,-92.37462022227065,-11.205345390039874,0.0,0.07716049,0.27598083,False
ANY,Q-CAA,Q-CAA,1029,1029,-79.44509944419319,-24.779589921989636,-79.44509944419319,-24.779589921989636,0.0,0.08,0.14485362,False
ANY,G-GGC,G-GGT,2352,1864,87.77682374096321,-15.407284597620889,91.60317084608522,-21.92672918870203,7.559371001945386,0.081566066,0.3185253,False
ANY,A-GCG,A-GCT,2833,1140,-74.77415163687492,-34.19309836252649,-74.5295762230751,-32.17355827402087,2.0342957754752917,0.08503401,0.1266876,False
ANY,L-CTA,L-CTT,177,637,-82.91914539192595,-15.367696821191494,-81.27774165134517,-21.52266544268783,6.3700741731315125,0.09090909,0.31587186,False
ANY,S-TCA,S-TCT,305,532,-85.74815510463186,-21.131095820212877,-86.9422770772252,-22.66152435470659,1.941169437381175,0.098425195,0.287469,False
ANY,R-CGG,R-CGG,276,276,-80.47251698971402,-27.22643347516042,-80.47251698971402,-27.22643347516042,0.0,0.10460251,0.64445657,False
ANY,S-TCA,S-TCC,305,581,-85.74815510463186,-21.131095820212877,-84.0386202270802,-26.436182295737236,5.573728734909606,0.11261261,0.27272907,False
ANY,S-TCG,S-TCG,459,459,-84.03601109481727,-23.466199186109545,-84.03601109481727,-23.466199186109545,0.0,0.11494253,0.2569379,False
ANY,A-GCC,A-GCG,2098,2833,-74.78277816579664,-32.99501829530914,-74.77415163687492,-34.19309836252649,1.1981111235877795,0.11627907,0.13285452,False
ANY,L-CTG,L-TTA,4180,690,-80.29974735465855,-23.228616178472528,-79.53544918653412,-22.754483229310463,0.8994185584473307,0.11682243,0.29899418,False
ANY,A-GCC,A-GCT,2098,1140,-74.78277816579664,-32.99501829530914,-74.5295762230751,-32.17355827402087,0.8595974583331885,0.11682243,0.13160545,False
ANY,T-ACA,T-ACC,289,1825,-92.37462022227065,-11.205345390039874,-93.55301226920544,-15.866619941946123,4.807919327997088,0.11904762,0.28015554,False
ANY,G-GGA,G-GGA,454,454,78.16985531482761,-17.78612337232044,78.16985531482761,-17.78612337232044,0.0,0.13227513,0.30205595,False
ANY,H-CAT,H-CAT,913,913,-88.34492472517901,-5.509836336934301,-88.34492472517901,-5.509836336934301,0.0,0.13440861,0.1865303,False
ANY,A-GCA,A-GCG,1490,2833,-74.6115248327369,-32.61759570215257,-74.77415163687492,-34.19309836252649,1.5838737671511036,0.14705883,0.13288122,False
ANY,S-AGT,S-TCC,395,581,-84.83614043532758,-27.346537229073217,-84.0386202270802,-26.436182295737236,1.2102828542171793,0.15197569,0.2719919,False
ANY,I-ATA,I-ATT,132,2172,-87.43985635826063,9.948699012010602,-89.91763725327698,35.35625908761215,25.528092509214428,0.1521739,0.32876405,False
ANY,L-CTG,L-TTG,4180,800,-80.29974735465855,-23.228616178472528,-82.0715803876299,-22.575673999481406,1.8883129470069633,0.16722408,0.29918012,False
ANY,I-ATC,I-ATT,1856,2172,-89.03744443531578,12.026191548076483,-89.91763725327698,35.35625908761215,23.346665517715508,0.16955018,0.29996926,False
ANY,H-CAC,H-CAC,793,793,-87.04815183954956,-5.997222841293954,-87.04815183954956,-5.997222841293954,0.0,0.17605634,0.19345857,False
ANY,P-CCC,P-CCG,269,1391,-62.97962388374599,-13.635236413690684,-63.90624149749576,-17.27986121330263,3.760573112180876,0.18867925,0.17678124,False
ANY,R-CGA,R-CGG,154,276,-82.27820727040113,-21.20993327870775,-80.47251698971402,-27.22643347516042,6.2816233573561915,0.19762845,0.6151564,False
ANY,R-CGA,R-CGA,154,154,-82.27820727040113,-21.20993327870775,-82.27820727040113,-21.20993327870775,0.0,0.1984127,0.7679761,False
ANY,L-TTA,L-TTA,690,690,-79.53544918653412,-22.754483229310463,-79.53544918653412,-22.754483229310463,0.0,0.20491803,0.28184825,False
ANY,L-CTA,L-TTG,177,800,-82.91914539192595,-15.367696821191494,-82.0715803876299,-22.575673999481406,7.257637455760349,0.22624435,0.2984719,False
ANY,S-AGC,S-TCC,1007,581,-83.77900473672803,-22.13687191134852,-84.0386202270802,-26.436182295737236,4.307141741821769,0.23696682,0.26434556,False
ANY,R-AGA,R-CGC,40,1711,-81.85699633447561,-17.61086584085979,-78.50835949009345,-23.391620350562174,6.680605617531851,0.24623115,0.6860698,False
