condition_group,subgroup1,subgroup2,n1,n2,phi1_mean,psi1_mean,phi2_mean,psi2_mean,d12,pval,ddist,significant
HELIX,C-TGC,C-TGT,180,180,-64.86153224538126,-40.32426206721804,-64.04623305472434,-40.79763174274036,0.9427574555472479,0.004999,0.5052345,False
HELIX,P-CCA,P-CCT,218,228,-58.61162228687445,-36.53612645540766,-57.92730563393087,-37.424143255063115,1.121099066972323,0.024653833,0.4250703,False
HELIX,G-GGG,G-GGT,365,342,-61.056549971983046,-41.77109420891267,-61.435823546404684,-41.90846980368914,0.4033862891754673,0.027762353,0.48841044,False
HELIX,G-GGA,G-GGG,347,365,-61.971358188657874,-41.461447582890145,-61.056549971983046,-41.77109420891267,0.9657924757953512,0.029983342,0.51184446,False
HELIX,P-CCA,P-CCG,218,235,-58.61162228687445,-36.53612645540766,-58.7795219970517,-36.26015949218247,0.32302953033637954,0.03387007,0.36653504,False
HELIX,P-CCA,P-CCC,218,238,-58.61162228687445,-36.53612645540766,-58.85692853091546,-36.311614722294756,0.332536722289233,0.035688795,0.40267843,False
HELIX,P-CCG,P-CCT,235,228,-58.7795219970517,-36.26015949218247,-57.92730563393087,-37.424143255063115,1.4426125362760054,0.03598201,0.36764455,False
HELIX,T-ACA,T-ACC,445,465,-66.99179311542737,-39.24250353666059,-67.35963978336757,-39.22641161097604,0.3681984806961454,0.040533036,0.5206453,False
HELIX,R-AGA,R-CGG,446,477,-65.28072827550162,-38.997200707714164,-64.66441981612385,-39.66959526546149,0.9121132377006723,0.044332493,0.4646816,False
HELIX,R-AGA,R-AGG,446,411,-65.28072827550162,-38.997200707714164,-63.911821762047666,-39.561831955831614,1.4807813778297345,0.045029737,0.5007177,False
HELIX,R-AGA,R-CGT,446,444,-65.28072827550162,-38.997200707714164,-64.60730577428421,-38.83975460206162,0.6915830690026054,0.04828974,0.45860255,False
HELIX,S-TCG,S-TCT,462,454,-65.61022343125221,-37.387181686369594,-65.10362830051236,-37.232426675250025,0.5297053331390366,0.048293088,0.48745447,False
HELIX,S-TCA,S-TCT,481,454,-65.93282692613025,-36.488311716122986,-65.10362830051236,-37.232426675250025,1.1141263093218963,0.04981685,0.5087874,False
HELIX,R-AGA,R-CGC,446,416,-65.28072827550162,-38.997200707714164,-64.37089243654256,-39.49709200778364,1.0381197261103785,0.051948052,0.47071525,False
HELIX,P-CCC,P-CCT,238,228,-58.85692853091546,-36.311614722294756,-57.92730563393087,-37.424143255063115,1.4497994574497972,0.053001277,0.3796479,False
HELIX,G-GGA,G-GGT,347,342,-61.971358188657874,-41.461447582890145,-61.435823546404684,-41.90846980368914,0.6975859939400424,0.05794206,0.44144675,False
HELIX,R-CGC,R-CGG,416,477,-64.37089243654256,-39.49709200778364,-64.66441981612385,-39.66959526546149,0.34046394298564325,0.05994006,0.4399744,False
HELIX,R-AGG,R-CGC,411,416,-63.911821762047666,-39.561831955831614,-64.37089243654256,-39.49709200778364,0.46361314158946465,0.062421974,0.42118543,False
HELIX,N-AAC,N-AAT,694,711,-66.8066061964608,-36.176745806943686,-65.9752697216327,-36.582185836075645,0.9249334849610201,0.0632806,0.5002479,False
HELIX,H-CAC,H-CAT,434,454,-66.88065910744209,-38.43448532765891,-67.2567020023863,-37.6287757225967,0.8891435353909627,0.06491885,0.52117276,False
HELIX,S-TCC,S-TCT,450,454,-65.68366162520819,-36.581967270022204,-65.10362830051236,-37.232426675250025,0.8715136806769156,0.06593407,0.46250826,False
HELIX,T-ACC,T-ACG,465,494,-67.35963978336757,-39.22641161097604,-67.24090377483607,-39.432874569207186,0.23817051212009546,0.07292707,0.49466768,False
HELIX,R-CGA,R-CGG,439,477,-64.54313614703194,-39.51211500886309,-64.66441981612385,-39.66959526546149,0.19877062058235637,0.074906364,0.4356179,False
HELIX,S-TCA,S-TCG,481,462,-65.93282692613025,-36.488311716122986,-65.61022343125221,-37.387181686369594,0.9550079781439819,0.086142324,0.50672233,False
HELIX,R-CGA,R-CGT,439,444,-64.54313614703194,-39.51211500886309,-64.60730577428421,-38.83975460206162,0.6754156184868202,0.08739076,0.4196901,False
HELIX,T-ACC,T-ACT,465,452,-67.35963978336757,-39.22641161097604,-65.5419830112546,-40.69518232028475,2.3369132499370475,0.089918256,0.477282,False
HELIX,S-TCA,S-TCC,481,450,-65.93282692613025,-36.488311716122986,-65.68366162520819,-36.581967270022204,0.2661854803698955,0.09082652,0.4827988,False
HELIX,L-CTG,L-TTG,911,878,-65.28158204914787,-39.4937076490499,-65.14152902021677,-39.29734312550662,0.24119261393989397,0.094339624,0.44058785,False
HELIX,V-GTG,V-GTT,689,696,-66.13793067671656,-42.06591590934168,-65.59755343034183,-41.66674257877322,0.6718235752313695,0.10031348,0.4220078,False
HELIX,Y-TAC,Y-TAT,612,641,-66.05587961421719,-40.27918623379054,-67.42144616516701,-38.77185910661711,2.033914224687438,0.101123594,0.506308,False
HELIX,V-GTC,V-GTT,688,696,-65.98039236351022,-41.61007932941879,-65.59755343034183,-41.66674257877322,0.3870095251759429,0.10458911,0.42268622,False
HELIX,R-CGC,R-CGT,416,444,-64.37089243654256,-39.49709200778364,-64.60730577428421,-38.83975460206162,0.6985583234229716,0.10479574,0.41357437,False
HELIX,R-AGG,R-CGG,411,477,-63.911821762047666,-39.561831955831614,-64.66441981612385,-39.66959526546149,0.7602741360204619,0.10482529,0.44225278,False
HELIX,R-CGG,R-CGT,477,444,-64.66441981612385,-39.66959526546149,-64.60730577428421,-38.83975460206162,0.8318037872041675,0.11092437,0.44366854,False
HELIX,Q-CAA,Q-CAG,1224,1233,-64.75348548290083,-38.92926764622922,-65.46678945868193,-38.67097379748143,0.7586292072983253,0.12468828,0.41515702,False
HELIX,G-GGA,G-GGC,347,355,-61.971358188657874,-41.461447582890145,-60.11167526258182,-42.74381901465462,2.2589592901476703,0.12755102,0.45697692,False
HELIX,L-CTT,L-TTA,898,883,-65.76031683826324,-38.92156660794003,-65.48530610152184,-38.57875599840251,0.4394883608635539,0.1296758,0.40326673,False
HELIX,L-CTA,L-CTC,879,830,-65.42996107867722,-39.246885103013156,-64.9655013849272,-39.50231710249871,0.5300644427610337,0.13037634,0.40878886,False
HELIX,R-CGA,R-CGA,439,439,-64.54313614703194,-39.51211500886309,-64.54313614703194,-39.51211500886309,0.0,0.13346228,0.39076486,False
HELIX,S-TCC,S-TCG,450,462,-65.68366162520819,-36.581967270022204,-65.61022343125221,-37.387181686369594,0.8085563830835675,0.13466334,0.46853018,False
HELIX,L-CTG,L-CTT,911,898,-65.28158204914787,-39.4937076490499,-65.76031683826324,-38.92156660794003,0.7460109712541909,0.13466334,0.40224898,False
HELIX,L-CTC,L-CTG,830,911,-64.9655013849272,-39.50231710249871,-65.28158204914787,-39.4937076490499,0.3161978952853314,0.13980028,0.4078174,False
HELIX,T-ACA,T-ACG,445,494,-66.99179311542737,-39.24250353666059,-67.24090377483607,-39.432874569207186,0.3135239235910024,0.13994911,0.49225503,False
HELIX,L-CTC,L-CTT,830,898,-64.9655013849272,-39.50231710249871,-65.76031683826324,-38.92156660794003,0.9843793688369975,0.1446384,0.42795935,False
HELIX,L-CTG,L-TTA,911,883,-65.28158204914787,-39.4937076490499,-65.48530610152184,-38.57875599840251,0.9373579959322215,0.1446384,0.41594324,False
HELIX,L-CTA,L-CTG,879,911,-65.42996107867722,-39.246885103013156,-65.28158204914787,-39.4937076490499,0.2879890720776359,0.14534883,0.4269859,False
HELIX,V-GTA,V-GTT,654,696,-65.48442500711892,-42.04143651135636,-65.59755343034183,-41.66674257877322,0.39139951872163364,0.1497006,0.41315863,False
HELIX,P-CCC,P-CCG,238,235,-58.85692853091546,-36.311614722294756,-58.7795219970517,-36.26015949218247,0.09294843834465105,0.1539823,0.36615446,False
HELIX,R-CGT,R-CGT,444,444,-64.60730577428421,-38.83975460206162,-64.60730577428421,-38.83975460206162,0.0,0.169279,0.39050227,False
HELIX,T-ACA,T-ACA,445,445,-66.99179311542737,-39.24250353666059,-66.99179311542737,-39.24250353666059,0.0,0.17206983,0.4494018,False
HELIX,L-CTA,L-CTT,879,898,-65.42996107867722,-39.246885103013156,-65.76031683826324,-38.92156660794003,0.46364539373133923,0.179402,0.4569052,False
HELIX,L-TTA,L-TTG,883,878,-65.48530610152184,-38.57875599840251,-65.14152902021677,-39.29734312550662,0.7965865557931471,0.18965517,0.3944629,False
HELIX,A-GCT,A-GCT,1522,1522,-63.46869274907558,-39.327583788056856,-63.46869274907558,-39.327583788056856,0.0,0.19451371,0.34445664,False
HELIX,T-ACG,T-ACT,494,452,-67.24090377483607,-39.432874569207186,-65.5419830112546,-40.69518232028475,2.116542609861356,0.19871795,0.45468557,False
HELIX,E-GAA,E-GAA,1833,1833,-64.91003341867751,-39.37342118757681,-64.91003341867751,-39.37342118757681,0.0,0.22258064,0.3721281,False
HELIX,V-GTC,V-GTG,688,689,-65.98039236351022,-41.61007932941879,-66.13793067671656,-42.06591590934168,0.48229172470995485,0.2358804,0.41436905,False
HELIX,L-TTA,L-TTA,883,883,-65.48530610152184,-38.57875599840251,-65.48530610152184,-38.57875599840251,0.0,0.26245847,0.39192745,False
HELIX,G-GGC,G-GGG,355,365,-60.11167526258182,-42.74381901465462,-61.056549971983046,-41.77109420891267,1.3560906179794048,0.26595744,0.41114816,False
HELIX,G-GGC,G-GGC,355,355,-60.11167526258182,-42.74381901465462,-60.11167526258182,-42.74381901465462,0.0,0.27322406,0.3765921,False
HELIX,P-CCC,P-CCC,238,238,-58.85692853091546,-36.311614722294756,-58.85692853091546,-36.311614722294756,0.0,0.27322406,0.30534664,False
HELIX,A-GCA,A-GCG,1513,1492,-63.456821880298094,-39.05080061722584,-63.52414705494691,-39.59564480731776,0.548988042327345,0.27540985,0.32756862,False
HELIX,I-ATC,I-ATC,892,892,-64.72234665047473,-42.74114158049998,-64.72234665047473,-42.74114158049998,0.0,0.28064516,0.32584026,False
HELIX,A-GCC,A-GCT,1489,1522,-63.60082275856947,-39.355252884384576,-63.46869274907558,-39.327583788056856,0.13499599364592255,0.2857143,0.33953658,False
HELIX,V-GTA,V-GTG,654,689,-65.48442500711892,-42.04143651135636,-66.13793067671656,-42.06591590934168,0.6539639906921457,0.30232558,0.36288455,False
HELIX,T-ACC,T-ACC,465,465,-67.35963978336757,-39.22641161097604,-67.35963978336757,-39.22641161097604,0.0,0.30487806,0.4198412,False
HELIX,R-AGG,R-CGA,411,439,-63.911821762047666,-39.561831955831614,-64.54313614703194,-39.51211500886309,0.6332690009024197,0.30864197,0.37272856,False
HELIX,L-CTC,L-CTC,830,830,-64.9655013849272,-39.50231710249871,-64.9655013849272,-39.50231710249871,0.0,0.3156146,0.37126976,False
HELIX,G-GGC,G-GGT,355,342,-60.11167526258182,-42.74381901465462,-61.435823546404684,-41.90846980368914,1.5656235121547224,0.3164557,0.3729668,False
HELIX,G-GGA,G-GGA,347,347,-61.971358188657874,-41.461447582890145,-61.971358188657874,-41.461447582890145,0.0,0.32225913,0.39027914,False
HELIX,C-TGC,C-TGC,180,180,-64.86153224538126,-40.32426206721804,-64.86153224538126,-40.32426206721804,0.0,0.32467532,0.3713557,False
HELIX,G-GGT,G-GGT,342,342,-61.435823546404684,-41.90846980368914,-61.435823546404684,-41.90846980368914,0.0,0.32467532,0.36466077,False
HELIX,L-TTG,L-TTG,878,878,-65.14152902021677,-39.29734312550662,-65.14152902021677,-39.29734312550662,0.0,0.32890365,0.38973334,False
HELIX,L-CTA,L-CTA,879,879,-65.42996107867722,-39.246885103013156,-65.42996107867722,-39.246885103013156,0.0,0.32894737,0.37635544,False
HELIX,I-ATA,I-ATC,802,892,-65.0933010544873,-42.36674134605114,-64.72234665047473,-42.74114158049998,0.5270509514379584,0.33554816,0.35445842,False
HELIX,E-GAA,E-GAG,1833,1702,-64.91003341867751,-39.37342118757681,-64.86749500052667,-38.87568139709589,0.4995542173245763,0.33783785,0.37408617,False
HELIX,L-CTA,L-TTA,879,883,-65.42996107867722,-39.246885103013156,-65.48530610152184,-38.57875599840251,0.6704174609759923,0.33887044,0.37488148,False
HELIX,R-CGA,R-CGC,439,416,-64.54313614703194,-39.51211500886309,-64.37089243654256,-39.49709200778364,0.1728976181576335,0.3448276,0.37362498,False
HELIX,M-ATG,M-ATG,1187,1187,-65.39981262368079,-38.89723405902186,-65.39981262368079,-38.89723405902186,0.0,0.35215947,0.39755723,False
HELIX,R-AGA,R-CGA,446,439,-65.28072827550162,-38.997200707714164,-64.54313614703194,-39.51211500886309,0.8995437096151083,0.35460994,0.38747117,False
HELIX,I-ATC,I-ATT,892,869,-64.72234665047473,-42.74114158049998,-65.5216222173388,-42.26834222577335,0.9286445292014478,0.35460994,0.3524633,False
HELIX,W-TGG,W-TGG,660,660,-64.10259577575529,-40.30790376415586,-64.10259577575529,-40.30790376415586,0.0,0.358804,0.3805854,False
HELIX,T-ACT,T-ACT,452,452,-65.5419830112546,-40.69518232028475,-65.5419830112546,-40.69518232028475,0.0,0.36212623,0.3727745,False
HELIX,S-TCC,S-TCC,450,450,-65.68366162520819,-36.581967270022204,-65.68366162520819,-36.581967270022204,0.0,0.36231884,0.41155815,False
HELIX,N-AAC,N-AAC,694,694,-66.8066061964608,-36.176745806943686,-66.8066061964608,-36.176745806943686,0.0,0.3654485,0.40869942,False
HELIX,A-GCC,A-GCG,1489,1492,-63.60082275856947,-39.355252884384576,-63.52414705494691,-39.59564480731776,0.25232407760166076,0.36764705,0.2999765,False
HELIX,L-CTC,L-TTA,830,883,-64.9655013849272,-39.50231710249871,-65.48530610152184,-38.57875599840251,1.0597934026938625,0.3816794,0.38874516,False
HELIX,C-TGT,C-TGT,180,180,-64.04623305472434,-40.79763174274036,-64.04623305472434,-40.79763174274036,0.0,0.38538206,0.30957356,False
HELIX,I-ATA,I-ATT,802,869,-65.0933010544873,-42.36674134605114,-65.5216222173388,-42.26834222577335,0.4394785608171388,0.390625,0.3488454,False
HELIX,R-AGG,R-CGT,411,444,-63.911821762047666,-39.561831955831614,-64.60730577428421,-38.83975460206162,1.0025436230429692,0.39370078,0.3607612,False
HELIX,T-ACG,T-ACG,494,494,-67.24090377483607,-39.432874569207186,-67.24090377483607,-39.432874569207186,0.0,0.3986711,0.41600668,False
HELIX,Y-TAC,Y-TAC,612,612,-66.05587961421719,-40.27918623379054,-66.05587961421719,-40.27918623379054,0.0,0.40863788,0.43175176,False
HELIX,D-GAC,D-GAT,1046,1106,-64.1156892483942,-39.05166805125043,-63.91473825282326,-38.55544456276525,0.5353681473017955,0.42016807,0.375585,False
HELIX,T-ACA,T-ACT,445,452,-66.99179311542737,-39.24250353666059,-65.5419830112546,-40.69518232028475,2.0523705772967014,0.42735043,0.4290902,False
HELIX,G-GGG,G-GGG,365,365,-61.056549971983046,-41.77109420891267,-61.056549971983046,-41.77109420891267,0.0,0.43103448,0.38601497,False
HELIX,Q-CAG,Q-CAG,1233,1233,-65.46678945868193,-38.67097379748143,-65.46678945868193,-38.67097379748143,0.0,0.43521595,0.34812397,False
HELIX,E-GAG,E-GAG,1702,1702,-64.86749500052667,-38.87568139709589,-64.86749500052667,-38.87568139709589,0.0,0.4385965,0.36602652,False
