condition_group,subgroup1,subgroup2,n1,n2,phi1_mean,psi1_mean,phi2_mean,psi2_mean,d12,pval,ddist,significant
ANY,C-TGC,C-TGT,375,592,-90.24515165416827,-8.486413567318817,-92.22090681499951,-1.8273716489902487,6.945966291712646,0.00039992,1.1117913,False
ANY,S-AGC,S-TCC,757,345,-86.22251174248926,-22.168000498490855,-87.87702261608729,-23.954422815529348,2.434894438300628,0.00079984,1.0536869,False
ANY,S-TCC,S-TCT,345,631,-87.87702261608729,-23.954422815529348,-85.00484610782689,-17.70732860250788,6.875724252831061,0.00119976,1.054924,False
ANY,S-TCA,S-TCC,607,345,-85.76327714345427,-25.634162700374123,-87.87702261608729,-23.954422815529348,2.6998974061647054,0.0027994402,1.0527598,False
ANY,R-AGA,R-AGG,470,860,-80.68419821247106,-23.038439806317278,-82.22228168147706,-24.00112935662119,1.8145169957577911,0.00379924,0.9449053,False
ANY,R-AGA,R-CGC,470,478,-80.68419821247106,-23.038439806317278,-79.0378699054987,-21.06224239073727,2.57211063519507,0.00479904,0.9299767,False
ANY,S-AGT,S-TCC,1315,345,-84.37607255321386,-22.773286740095507,-87.87702261608729,-23.954422815529348,3.694825269403788,0.0055988804,1.037543,False
ANY,S-TCC,S-TCG,345,1325,-87.87702261608729,-23.954422815529348,-85.3090763938376,-20.491457142177648,4.311203898585485,0.0069986004,1.0451739,False
ANY,R-AGA,R-CGA,470,836,-80.68419821247106,-23.038439806317278,-77.76895736149372,-24.13674788523367,3.11527043054372,0.00859828,0.9552018,False
ANY,S-AGC,S-TCA,757,607,-86.22251174248926,-22.168000498490855,-85.76327714345427,-25.634162700374123,3.496452034093287,0.00959808,0.99289393,False
ANY,L-CTG,L-CTT,1080,481,-81.98047932448027,-19.123585402382947,-80.3603926042991,-22.54159818571221,3.7825246024196133,0.00959808,0.9218922,False
ANY,R-AGA,R-CGT,470,842,-80.68419821247106,-23.038439806317278,-78.8797032148887,-26.48368796896197,3.8892077726069516,0.01039792,0.9369947,False
ANY,R-CGC,R-CGT,478,842,-79.0378699054987,-21.06224239073727,-78.8797032148887,-26.48368796896197,5.423752285979755,0.011901928,0.94427645,False
ANY,L-CTC,L-CTT,1090,481,-79.7975713563117,-22.752519549924084,-80.3603926042991,-22.54159818571221,0.6010454051626057,0.013955426,0.9205994,False
ANY,R-AGG,R-CGC,860,478,-82.22228168147706,-24.00112935662119,-79.0378699054987,-21.06224239073727,4.333305315487482,0.014580295,0.9337721,False
ANY,P-CCC,P-CCT,385,672,-64.1182437391438,-15.313302902188806,-64.06313094273095,-19.162765075009435,3.849856677891446,0.016244924,0.7239208,False
ANY,S-AGT,S-TCA,1315,607,-84.37607255321386,-22.773286740095507,-85.76327714345427,-25.634162700374123,3.1794571604731807,0.016662039,1.0005333,False
ANY,S-TCA,S-TCT,607,631,-85.76327714345427,-25.634162700374123,-85.00484610782689,-17.70732860250788,7.963034374589737,0.017994002,1.0037218,False
ANY,R-AGG,R-CGT,860,842,-82.22228168147706,-24.00112935662119,-78.8797032148887,-26.48368796896197,4.163643604945974,0.018328242,0.9513727,False
ANY,R-CGA,R-CGC,836,478,-77.76895736149372,-24.13674788523367,-79.0378699054987,-21.06224239073727,3.3260672091859025,0.020582182,0.9612101,False
ANY,S-TCA,S-TCG,607,1325,-85.76327714345427,-25.634162700374123,-85.3090763938376,-20.491457142177648,5.162723968919631,0.02070689,0.99860233,False
ANY,T-ACC,T-ACT,609,1102,-92.4286811695513,-7.046081204393099,-91.59096529803841,-20.451643969505643,13.43171176472889,0.023323616,1.0112226,False
ANY,R-CGA,R-CGT,836,842,-77.76895736149372,-24.13674788523367,-78.8797032148887,-26.48368796896197,2.596513837329727,0.02544298,0.9287617,False
ANY,S-AGC,S-TCT,757,631,-86.22251174248926,-22.168000498490855,-85.00484610782689,-17.70732860250788,4.6238840125429235,0.027486257,1.0162582,False
ANY,R-CGG,R-CGT,1783,842,-80.37218151080653,-23.29765573060302,-78.8797032148887,-26.48368796896197,3.5182798194072515,0.028485756,0.9435481,False
ANY,R-AGA,R-CGG,470,1783,-80.68419821247106,-23.038439806317278,-80.37218151080653,-23.29765573060302,0.40564432391063676,0.029428095,0.9529647,False
ANY,S-AGC,S-TCG,757,1325,-86.22251174248926,-22.168000498490855,-85.3090763938376,-20.491457142177648,1.9092306727486665,0.030484758,0.98170996,False
ANY,T-ACC,T-ACG,609,2337,-92.4286811695513,-7.046081204393099,-93.38559067227008,-11.097313141711428,4.162710175635765,0.031230481,1.0165379,False
